count,description,amount_per_100g,amount_per_cup
772633,"Pretzel chips, hard, plain",2.7,1.08
773087,"Pretzel chips, hard, flavored",2.7,1.08
774075,"Pretzels, hard, coated, NFS",11.1,9.546
776417,"Pretzels, hard, yogurt coated",4.1,3.526
777917,"Pretzels, hard, filled, NFS",3.3,3.1679999999999997
778435,"Pretzels, hard, cheese filled",3.3,3.1679999999999997
789857,Multigrain chips (Sun Chips),2.4,0.72
790296,"Snack mix, plain (Chex Mix)",14.7,8.819999999999999
810010,"Dumpling, no meat",1.5,1.125
812075,"Noodles, chow mein",6.3,3.528
828390,Congee,0.0,0.0
833542,"Cereal, ready-to-eat, NFS",1.8,0.63
833736,"Cereal, O's, flavored",2.0,0.8
833931,"Cereal, crunch",6.4,2.2399999999999998
834142,"Cereal, O's, plain",1.9,0.57
834387,"Cereal, chocolate puffs",2.4,0.84
834582,"Cereal, cinnamon toast",6.5,2.6
834777,"Cereal, chocolate crispy",2.2,0.8800000000000001
834970,"Cereal, corn squares",0.7,0.21
835165,"Cereal, corn flakes, plain",0.0,0.0
835362,"Cereal, corn puffs",0.7,0.175
835556,"Cereal, rice crispy, plain",0.0,0.0
835752,"Cereal, bran flakes, plain",1.0,0.5
836205,"Cereal, rice crispy, flavored",0.0,0.0
836401,"Cereal, fruit rings",3.1,0.9299999999999999
836595,"Cereal, fruit crispy",2.1,0.735
836790,"Cereal, granola",5.8,6.38
836985,"Cereal, oat bunches",3.2,1.4400000000000002
837182,"Cereal, corn squares, flavored",1.4,0.5599999999999999
837375,"Cereal, O's, honey nut",2.0,0.8
837571,"Cereal, multigrain",1.3,0.65
837765,"Cereal, oat squares",1.6,0.7200000000000001
838155,"Cereal, O's, multigrain",1.0,0.3
838350,"Cereal, bran flakes, flavored",0.7,0.42
838545,"Cereal, rice squares",0.7,0.21
838742,"Cereal, K's, plain",0.1,0.034999999999999996
838935,"Cereal, K's, flavored",0.1,0.034999999999999996
839131,"Cereal, flavored puffs",0.8,0.24
839327,"Cereal, corn flakes, flavored",0.0,0.0
839520,"Cereal, O's, NFS",2.0,0.7
839717,"Cereal, wheat squares",0.3,0.18
839896,Wheat germ,4.0,4.8
840040,"Cereal, plain puffs",0.3,0.045
840269,"Cereal, shredded wheat, plain",0.3,0.135
840561,"Cereal, wheat flakes",0.3,0.12
840757,"Cereal, other, NFS",2.1,0.735
840951,"Cereal, other, plain",0.9,0.27
841146,"Cereal, other, fruit flavored",2.6,1.04
841340,"Cereal, other, chocolate",2.3,0.9199999999999999
841537,"Cereal, other, peanut butter",5.2,2.08
841732,"Cereal, other, honey",2.6,1.04
841925,"Cereal, reduced sugar",1.3,0.45499999999999996
842106,Wheat bran,1.9,1.14
842236,"Oats, raw",2.0,1.6
842382,"Cereal, oat bran, ready-to-eat",9.3,7.440000000000001
845291,Chilaquiles,2.2,3.74
845420,Frito pie,6.5,9.75
845567,Mexican pizza,5.0,6.0
848198,"Taco, NFS",5.1,6.119999999999999
853073,"Taco, fish",12.6,15.12
853395,"Taco, meat, no cheese",5.2,6.24
854047,"Taco, with beans, no cheese",5.7,6.84
854373,"Taco, cheese only",0.9,1.08
854695,"Burrito, NFS",4.0,4.8
855021,"Burrito, beef, cheese",4.7,5.64
856324,"Burrito, pork, cheese",4.2,5.04
857621,"Burrito, chicken, cheese",5.3,6.359999999999999
858922,"Burrito, with beans, no cheese",4.5,5.3999999999999995
859245,"Burrito, with beans, cheese",4.4,5.28
859899,"Burrito, meat, no cheese",4.8,5.76
861196,"Burrito, cheese only",5.2,6.24
861492,"Burrito bowl, NFS",2.1,2.52
861685,"Burrito bowl, beef or pork",1.3,1.56
862465,"Burrito bowl, chicken",2.9,3.48
863247,"Burrito bowl, with beans",2.7,3.24
863441,"Enchilada, NFS",4.9,8.33
863635,"Enchilada, beef",4.5,7.6499999999999995
863831,"Enchilada, pork",4.2,7.14
864025,"Enchilada, chicken",4.9,8.33
864221,"Enchilada, no meat",4.7,7.99
864415,"Tamale, NFS",5.1,8.67
864612,"Tamale, beef",5.1,8.67
864805,"Tamale, pork",5.1,8.67
865000,"Tamale, chicken",5.1,8.67
865196,"Tamale, no meat",5.4,9.18
865375,Tamale casserole with meat,5.1,12.75
865551,"Nachos, NFS",12.7,17.145
865876,"Nachos, cheese only",14.6,19.71
866203,"Nachos, beef or pork",10.9,14.715000000000002
866854,"Nachos, chicken",11.6,15.66
867178,"Nachos, chicken, with beans",9.2,12.42
867500,"Nachos, with beans",10.7,14.445
867796,"Gordita, cheese only",9.2,11.04
867991,"Gordita, with beans",8.6,10.319999999999999
868187,"Gordita, meat",8.3,9.96
868380,"Gordita, meat, with beans",8.5,10.2
868575,"Chimichanga, meat",14.2,17.04
868771,"Chimichanga, with beans",14.0,16.8
868966,"Chimichanga, chicken",14.8,17.76
869192,"Quesadilla, NFS",4.9,4.655
869518,"Quesadilla, cheese only",4.9,4.655
869840,"Quesadilla, beef or pork",7.2,6.84
870167,"Quesadilla, chicken",7.7,7.3149999999999995
870493,"Quesadilla, with vegetables",7.9,7.505
871466,"Quesadilla, egg",7.0,6.6499999999999995
871790,"Quesadilla, egg, with meat",6.6,6.27
872135,"Taquito, cheese only",6.3,7.56
872524,"Taquito, beef or pork",6.2,7.4399999999999995
872912,"Taquito, chicken",6.7,8.04
873302,"Taquito, egg",9.5,11.4
873645,"Fajita, NFS",9.7,11.639999999999999
873840,"Fajita, chicken",9.4,11.28
874035,"Fajita, beef or pork",9.9,11.88
874232,"Fajita, shrimp",10.2,12.239999999999998
874427,"Fajita, vegetable",10.9,13.08
874620,"Pupusa, cheese only",1.7,2.8899999999999997
874816,"Pupusa, with beans",7.4,12.58
875010,"Pupusa, meat",1.1,1.87
875205,"Pupusa, meat, with beans",4.2,7.14
927447,Pizza rolls,4.8,5.712
938921,"Egg roll, with shrimp",45.5,56.875
942610,Pierogi,7.9,6.32
942791,"Gnocchi, cheese",7.0,4.8999999999999995
942936,"Gnocchi, potato",1.3,2.444
943941,Spanakopita,211.4,253.68
945029,"Spinach quiche, meatless",131.1,209.76
945546,"Cheese quiche, meatless",3.3,5.28
948087,Chicken cornbread,4.4,4.048000000000001
948445,Dressing with oysters,32.5,52.325
948880,Lasagna with meat,6.6,16.5
949175,"Lasagna with meat, canned",0.8,2.0
949729,"Lasagna with meat, home recipe",1.9,4.75
950053,"Lasagna with meat, frozen",5.9,14.75
950411,Lasagna with meat and spinach,19.6,49.0
950834,Lasagna with chicken or turkey,4.4,11.0
951642,"Lasagna, meatless",9.1,22.75
953076,"Ravioli, meat-filled, no sauce",0.6,0.96
958976,"Lo mein, NFS",12.7,25.4
959106,"Lo mein, meatless",12.7,25.4
959236,"Lo mein, with shrimp",10.1,20.2
959366,"Lo mein, with pork",10.2,20.4
959495,"Lo mein, with beef",10.6,21.2
959625,"Lo mein, with chicken",10.2,20.4
959755,"Pad Thai, NFS",20.2,40.4
959885,"Pad Thai, meatless",22.4,44.8
960015,Pad Thai with chicken,20.2,40.4
960146,Pad Thai with seafood,20.9,41.8
960275,Pad Thai with meat,21.0,42.0
960405,"Adobo, with noodles",0.0,0.0
963396,"Pasta with sauce, NFS",5.6,14.0
984992,Flavored pasta,2.2,4.07
987527,Noodle pudding,5.2,10.4
987705,"Bibimbap, Korean",94.1,152.442
987835,"Rice, fried, meatless",2.8,4.648
987965,"Rice, fried, NFS",2.8,5.544
988096,"Rice, fried, with chicken",2.4,4.752
988225,"Rice, fried, with pork",2.4,4.752
988356,"Rice, fried, with beef",2.6,5.148
988486,"Rice, fried, with shrimp",2.4,4.752
988615,"Dukboki or Tteokbokki, Korean",6.0,15.0
988746,"Adobo, with rice",0.0,0.0
988892,"Sushi, NFS",1.3,1.9500000000000002
989086,"Sushi roll, avocado",3.4,5.1
989281,"Sushi roll, California",1.3,1.9500000000000002
989475,"Sushi roll, eel",0.0,0.0
989672,"Sushi roll, salmon",0.1,0.15000000000000002
989867,"Sushi roll, shrimp",0.1,0.15000000000000002
990060,Sushi roll tuna,0.1,0.15000000000000002
990255,"Sushi roll, vegetable",3.4,4.488
990450,"Sushi, topped with crab",0.1,0.13999999999999999
